Date,German 10-Year Government Bond Yields (%),MRO Rate (%),US 10-Year Government Benchmark Bond Yield (%)
2000,5.26,4.75,6.03
2001,4.8,4.25,5.01
2002,4.78,3.25,4.6
2003,4.07,2.0,4.0
2004,4.04,2.0,4.26
2005,3.35,2.25,4.28
2006,3.76,3.5,4.79
2007,4.22,4.0,4.63
2008,3.98,2.5,3.65
2009,3.22,1.0,3.24
2010,2.74,1.0,3.2
2011,2.61,1.5,2.77
2012,1.5,0.75,1.79
2013,1.57,0.25,2.34
2014,1.16,0.05,2.53
2015,0.5,0.05,2.13
2016,0.09,0.0,1.84
2017,0.32,0.0,2.33
2018,0.4,0.0,2.91
2019,-0.25,0.0,2.14
2020,-0.51,0.0,0.89
2021,-0.37,0.0,1.44
2022,1.14,2.5,2.95
2023,2.43,3.75,3.96
2024,2.32,3.15,4.21
